deckBranch,canonicalCards,productionEligibleMappedCards,coveragePct
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::05 Forearm::05.04 Trauma,10,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::09 Leg/Knee::09.13 Disorders,10,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::06 Hand::06.06 Joints,10,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::06 Hand::06.15 Disorders,10,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::14 Pediatrics::14.04 Spine::Spondylolysis/Spondylolisthesis,10,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::11 Knee::06.02 Trauma::Knee Dislocations,10,0,0
"Marty McFlyin's Ortho Deck::2) Pocket Pimped::11 Knee::06.03 Sports::Collateral Ligaments (MCL,  LCL)",10,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::06 Hand::06.02 Hand Conditions::Metacarpal,10,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::06 Hand::06.02 Hand Conditions::Flexor Tendon Injuries,10,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::13 Foot & Ankle::13.02 Trauma::Pilon,10,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::13 Foot & Ankle::13.03 Conditions::Achilles Tendon,10,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Foot & Ankle::Degenerative Conditions::Tendon Conditions::Posterior Tibial Tendon Insufficiency (PTTI),10,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Knee & Sports::Knee::Knee Evaluation in the Athlete::History and Physical Exam of the Knee,10,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Shoulder & Elbow::Shoulder::Shoulder Arthroplasty::Reverse Shoulder Arthroplasty,10,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Trauma::Lower Extremity::Tibial Shaft::Tibial Shaft Fractures,10,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Spine::Pediatric Spine::Spondylolysis & Adolescent Back Pain::Pediatric Spondylolysis & Spondylolisthesis,10,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Trauma::Upper Extremity::Humerus::Humeral Shaft Fractures,10,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Trauma::General Trauma::Specific Presentations::Amputations,10,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Basic Science::Systemic Disease::Metabolic Bone Disease::Osteopenia & Osteoporosis,10,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Trauma::Lower Extremity::Tibial Shaft::Proximal Third Tibia Fracture,10,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Trauma::General Trauma::Compartment Syndrome::Leg Compartment Syndrome,10,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Trauma::Upper Extremity::Forearm::Radius and Ulnar Shaft Fractures,10,0,0
Marty McFlyin's Ortho Deck::3) OrthoBullets::Pathology::Bone Tumors::Osteogenic Tumors::Intramedullary Osteosarcoma,10,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::02 Shoulder Girdle::02.03 Sports::Adhesive Capsulitis & GIRD,9,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::03 Arm::03.01 General Anatomy,9,0,0
