specialty,topic,questions,directTableMapped,productionEligibleMapped
pediatrics,humeral-shaft-fracture-pediatric,3,0,0
pediatrics,transient-synovitis-hip,3,0,0
recon,hip-hemiarthroplasty-periprosthetic-fracture,3,0,0
knee-sports,adductor-strain,3,0,0
knee-sports,meniscus,3,0,0
foot-ankle,nerves-the-foot,3,0,0
hand,pronator-syndrome,3,0,0
hand,giant-cell-tumor-tendon-sheath,3,0,0
shoulder-elbow,shoulder-periprosthetic-fracture,3,0,0
hand,ulnar-styloid-impaction-syndrome,3,0,0
pediatrics,cerebral-palsy-foot-conditions,3,0,0
spine,ossification-the-posterior-longitudinal-ligament,3,0,0
knee-sports,pulmonary-conditions-in-athletes,3,0,0
basic-science,operative-blood-loss-and-transfusion,3,0,0
recon,tka-patellar-maltracking,3,0,0
pediatrics,femoral-anteversion,3,0,0
basic-science,hemophilia,3,0,0
unknown,extensile-extended-iliofemoral-approach-to-acetabulum,3,0,0
unknown,anterior-approach-to-cervical-spine,3,0,0
unknown,posterior-approach-to-the-acetabulum-kocher-langenbeck,3,0,0
basic-science,bone-circulation,2,0,0
pediatrics,ehlers-danlos-syndrome,2,0,0
spine,spine-surgical-site-infections,2,0,0
pediatrics,larsen-s-syndrome,2,0,0
trauma,distal-radius-malunion,2,0,0
pediatrics,anterolateral-bowing-and-congenital-pseudoarthrosis-tibia,2,0,0
pediatrics,sprengel-s-deformity,2,0,0
hand,boutonniere-deformity,2,0,0
hand,blood-supply-to-hand,2,0,0
hand,ulnar-variance,2,0,0
pediatrics,traumatic-hip-dislocation-pediatric,2,0,0
anatomy,subscapularis,2,0,0
shoulder-elbow,shoulder-arthrodesis,2,0,0
recon,tha-rehabilitation,2,0,0
knee-sports,knee-imaging,2,0,0
recon,alignment,2,0,0
anatomy,piriformis,2,0,0
pediatrics,nursemaid-s-elbow,2,0,0
pathology,bone-infarct,2,0,0
recon,tha-vascular-injury-and-bleeding,2,0,0
spine,thoracic-spine-anatomy,2,0,0
shoulder-elbow,distal-clavicle-osteolysis,2,0,0
basic-science,informed-consent-and-time-out,2,0,0
basic-science,hypophosphatasia,2,0,0
spine,atlantoaxial-instability,2,0,0
hand,nail-bed-injury,2,0,0
spine,congenital-muscular-torticollis,2,0,0
pediatrics,external-tibial-torsion,2,0,0
pathology,intramuscular-myxomas,2,0,0
pediatrics,patella-sleeve-fracture,2,0,0
spine,pathologic-scoliosis,2,0,0
trauma,other-trauma-topics,2,0,0
hand,apert-syndrome,2,0,0
pediatrics,distal-clavicle-physeal-fractures,2,0,0
anatomy,sciatic-nerve,2,0,0
pathology,glomus-tumor,2,0,0
spine,klippel-feil-syndrome,2,0,0
anatomy,radial-nerve,2,0,0
basic-science,ochronosis,2,0,0
pathology,melorheostosis,2,0,0
hand,carpal-instability-nondissociative-cind,2,0,0
pathology,chondromyxoid-fibroma,2,0,0
trauma,gustilo-classification,2,0,0
anatomy,axillary-nerve,2,0,0
knee-sports,idiopathic-chondromalacia-patellae,2,0,0
hand,congenital-radial-head-dislocation,2,0,0
spine,lower-extremity-spine-exam,2,0,0
shoulder-elbow,shoulder-exam,2,0,0
pathology,neurofibroma,2,0,0
shoulder-elbow,brachial-neuritis-parsonage-turner-syndrome,2,0,0
spine,cervical-disc-arthroplasty,2,0,0
recon,tka-patellar-prosthesis-loosening,2,0,0
recon,patellar-clunk-syndrome,2,0,0
hand,acute-subclavian-artery-thrombosis,2,0,0
shoulder-elbow,elbow-anatomy-and-biomechanics,2,0,0
trauma,femoral-neck-fracture-nonunion,2,0,0
hand,camptodactyly,2,0,0
knee-sports,hip-labral-tear,2,0,0
hand,wrist-arthroscopy,2,0,0
