external_question_id,raw_specialty,normalized_specialty_slug,normalized_specialty_title,raw_topic_label,normalized_topic_label,normalized_topic_slug,canonical_topic_node_slug,canonical_topic_node_id,mapping_confidence,review_reason,suggested_action,review_group_key,source_anomaly_reason,row_number
OBQ17-68,Approaches,,,"Hip Direct Lateral Approach (Hardinge, Transgluteal)","Hip Direct Lateral Approach (Hardinge, Transgluteal)",hip-direct-lateral-approach-hardinge-transgluteal,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::hip-direct-lateral-approach-hardinge-transgluteal::source_anomaly,merged-specialty-topic,3490
OBQ18-198,Approaches,,,Extensile (extended iliofemoral) Approach to Acetabulum,Extensile (extended iliofemoral) Approach to Acetabulum,extensile-extended-iliofemoral-approach-to-acetabulum,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::extensile-extended-iliofemoral-approach-to-acetabulum::source_anomaly,merged-specialty-topic,3626
OBQ19-119,Approaches,,,Ilioinguinal Approach to the Acetabulum,Ilioinguinal Approach to the Acetabulum,ilioinguinal-approach-to-the-acetabulum,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::ilioinguinal-approach-to-the-acetabulum::source_anomaly,merged-specialty-topic,3803
OBQ19-2,Basic Science Shoulder &,,,Collagen Adhesive Capsulitis (Frozen,Collagen Adhesive Capsulitis (Frozen,collagen-adhesive-capsulitis-frozen,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::collagen-adhesive-capsulitis-frozen::source_anomaly,merged-specialty-topic,3887
OBQ19-209,Approaches,,,Hip Anterior Approach (Smith-Petersen),Hip Anterior Approach (Smith - Petersen),hip-anterior-approach-smith-petersen,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::hip-anterior-approach-smith-petersen::source_anomaly,merged-specialty-topic,3898
OBQ19-210,Approaches,,,Hip Anterior Approach (Smith-Petersen),Hip Anterior Approach (Smith - Petersen),hip-anterior-approach-smith-petersen,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::hip-anterior-approach-smith-petersen::source_anomaly,merged-specialty-topic,3900
SBQ09SP-58,Approaches,,,Retroperitoneal (Anterolateral) Approach to the Lumbar Spine,Retroperitoneal (Anterolateral) Approach to the Lumbar Spine,retroperitoneal-anterolateral-approach-to-the-lumbar-spine,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::retroperitoneal-anterolateral-approach-to-the-lumbar-spine::source_anomaly,merged-specialty-topic,5080
SBQ12SP-36,Approaches,,,Anterior Approach to Cervical Spine,Anterior Approach to Cervical Spine,anterior-approach-to-cervical-spine,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::anterior-approach-to-cervical-spine::source_anomaly,merged-specialty-topic,5358
SBQ12TR-4,Approaches,,,Hip Anterior Approach (Smith-Petersen),Hip Anterior Approach (Smith - Petersen),hip-anterior-approach-smith-petersen,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::hip-anterior-approach-smith-petersen::source_anomaly,merged-specialty-topic,5476
SBQ12TR-83,Approaches,,,Hip Anterior Approach (Smith-Petersen),Hip Anterior Approach (Smith - Petersen),hip-anterior-approach-smith-petersen,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::hip-anterior-approach-smith-petersen::source_anomaly,merged-specialty-topic,5529
SBQ18SP-13,Approaches,,,Anterior Approach to Cervical Spine,Anterior Approach to Cervical Spine,anterior-approach-to-cervical-spine,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::anterior-approach-to-cervical-spine::source_anomaly,merged-specialty-topic,6065
SBQ18SP-78,Approaches,,,Retroperitoneal (Anterolateral) Approach to the Lumbar Spine,Retroperitoneal (Anterolateral) Approach to the Lumbar Spine,retroperitoneal-anterolateral-approach-to-the-lumbar-spine,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::retroperitoneal-anterolateral-approach-to-the-lumbar-spine::source_anomaly,merged-specialty-topic,6132
SBQ21SE-42,Trauma Knee &,,,Osteomyelitis - Adult Exertional Compartment,Osteomyelitis - Adult Exertional Compartment,osteomyelitis-adult-exertional-compartment,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::osteomyelitis-adult-exertional-compartment::source_anomaly,merged-specialty-topic,6547
